"a_shc_item_id","min_comp","b_min_comp_nm","c_prcm_sears_div_nbr","c_prcm_sears_itm_nbr","c_unitcost","c_min_margin","prc_recom","prc_rule"
3399892,115.38,"Amazon Marketplace",95,1219,111.78,117.369,117.369,"min_margin"
3399894,114.54,"Amazon Marketplace",95,1220,111.5,117.075,117.075,"min_margin"
3399896,109.86,"Amazon Marketplace",95,1221,111.5,117.075,117.075,"min_margin"
3399897,115.24,"Amazon Marketplace",95,1222,111.5,117.075,117.075,"min_margin"
3399901,90.28,"Amazon Marketplace",95,1224,87.71,92.0955,92.0955,"min_margin"
3399918,163.84,"Amazon",95,1231,99.61,104.5905,163.84,"min_comp"
3399947,95.3,"Amazon Marketplace",95,1251,87.71,92.0955,95.3,"min_comp"
3400248,138.53,"Amazon",95,1309,127,133.35,138.53,"min_comp"
3400250,158.69,"Amazon",95,1311,147.37,154.7385,158.69,"min_comp"
3400255,152.05,"Amazon Marketplace",95,1316,147.37,154.7385,154.7385,"min_margin"
3400306,81.31,"Amazon Marketplace",95,1357,79,82.95,82.95,"min_margin"
3400333,112.02,"Amazon Marketplace",95,1375,108,113.4,113.4,"min_margin"
3403000,121.59,"Amazon Marketplace",95,1377,118,123.9,123.9,"min_margin"
3403325,113.63,"Amazon",95,1432,127,133.35,133.35,"min_margin"
3403330,157.41,"Amazon Marketplace",95,1433,147,154.35,157.41,"min_comp"
3403866,112.54,"Amazon",95,1511,95.38,100.149,112.54,"min_comp"
3403905,115.81,"Amazon Marketplace",95,1521,111.5,117.075,117.075,"min_margin"
3405446,144.84,"Amazon Marketplace",95,1600,140,147,147,"min_margin"
3405705,144.13,"Amazon Marketplace",95,1676,138.99,145.9395,145.9395,"min_margin"
3405719,155.34,"Amazon Marketplace",95,1681,149,156.45,156.45,"min_margin"
3405725,155.52,"Amazon Marketplace",95,1684,149,156.45,156.45,"min_margin"
3405733,166.51,"Amazon Marketplace",95,1685,159.01,166.9605,166.9605,"min_margin"
3405737,164.91,"Amazon Marketplace",95,1687,159.01,166.9605,166.9605,"min_margin"
3404833,216.91,"Amazon",95,1754,150.15,157.6575,216.91,"min_comp"
3404867,176.41,"Amazon Marketplace",95,1759,162.05,170.1525,176.41,"min_comp"
3409412,149.1,"Amazon",95,1783,95.15,99.9075,149.1,"min_comp"
3409497,112.13,"Amazon",95,1784,95.15,99.9075,112.13,"min_comp"
3409570,121.19,"Amazon Marketplace",95,1787,95.15,99.9075,121.19,"min_comp"
3409604,125.52,"Amazon",95,1791,105.55,110.8275,125.52,"min_comp"
3410087,102.47,"Amazon Marketplace",95,1801,98,102.9,102.9,"min_margin"
3410265,102.55,"Amazon Marketplace",95,1818,89,93.45,102.55,"min_comp"
3410297,114.79,"Amazon Marketplace",95,1827,100,105,114.79,"min_comp"
